,0
0,"Adair,MO"
1,"Adams,CO"
2,"Adams,OH"
3,"Adams,PA"
4,"Albany,NY"
5,"Albemarle,VA"
6,"Allegan,MI"
7,"Allegheny,PA"
8,"Allen,OH"
9,"Amador,CA"
10,"Anne Arundel,MD"
11,"Apache,AZ"
12,"Arapahoe,CO"
13,"Ashland,OH"
14,"Atlantic,NJ"
15,"Atoka,OK"
16,"Auglaize,OH"
17,"Augusta,VA"
18,"Baldwin,AL"
19,"Baldwin,GA"
20,"Barnstable,MA"
21,"Bates,MO"
22,"Benton,AR"
23,"Benton,WA"
24,"Bergen,NJ"
25,"Berkeley,SC"
26,"Berkeley,WV"
27,"Berks,PA"
28,"Berrien,MI"
29,"Boone,MO"
30,"Bottineau,ND"
31,"Boulder,CO"
32,"Box Elder,UT"
33,"Bristol,MA"
34,"Broward,FL"
35,"Bucks,PA"
36,"Burleson,TX"
37,"Burlington,NJ"
38,"Butler,KS"
39,"Butler,OH"
40,"Butler,PA"
41,"Cache,UT"
42,"Calhoun,AL"
43,"Callaway,MO"
44,"Calvert,MD"
45,"Camden,NJ"
46,"Cameron,TX"
47,"Camp,TX"
48,"Campbell,KY"
49,"Carbon,PA"
50,"Carroll,MD"
51,"Cass,MO"
52,"Champaign,IL"
53,"Charles,MD"
54,"Charlevoix,MI"
55,"Chatham,GA"
56,"Cheboygan,MI"
57,"Chelan,WA"
58,"Chittenden,VT"
59,"Clackamas,OR"
60,"Clark,NV"
61,"Clark,WA"
62,"Clatsop,OR"
63,"Clay,MO"
64,"Clay,WV"
65,"Clermont,OH"
66,"Cleveland,OK"
67,"Clinton,PA"
68,"Coal,OK"
69,"Cochise,AZ"
70,"Cocke,TN"
71,"Collin,TX"
72,"Columbia,NY"
73,"Columbia,OR"
74,"Comanche,OK"
75,"Cook,IL"
76,"Coweta,GA"
77,"Crawford,AR"
78,"Crockett,TX"
79,"Cumberland,NC"
80,"Cumberland,PA"
81,"Curry,OR"
82,"Custer,OK"
83,"Cuyahoga,OH"
84,"Dale,AL"
85,"Dallas,TX"
86,"Dane,WI"
87,"Dauphin,PA"
88,"Davidson,TN"
89,"Davis,UT"
90,"Day,SD"
91,"Decatur,GA"
92,"Delaware,OH"
93,"Delaware,PA"
94,"Denver,CO"
95,"Dodge,WI"
96,"Dougherty,GA"
97,"Douglas,KS"
98,"Douglas,NE"
99,"Dunn,WI"
100,"East Baton Rouge,LA"
101,"Ellis,KS"
102,"Elmore,AL"
103,"Erath,TX"
104,"Erie,OH"
105,"Essex,MA"
106,"Essex,VA"
