0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
"Adair,MO",0,1,0,0,0,0,0,0,0,2.7183,0,0,0,0,0,0,0,0,1,0,0,8.2808,5.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adams,CO",0,0,2.7183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0593,0.0224,2.7183,0,0,0,0,0,0,0,0
"Adams,OH",0.0007,0,3.0178,0,0,0.0129,0,0.3867,0,0,3.6231,1.3211,0,133.9084,0,0.0039,0,0,2.9649,0.0183,0,0.6376,0.6376,0.0143,0.9512,0,2.7183,0,127.6266,0.6703,0,0,0,0.9048,0,0,4.7183,0,0,0,0.7788,0.0302,2.7183,1.8348
"Adams,PA",0.5488,0,0,0,0,2.7183,0,0.8607,0,0,0.6065,0,0,0,0,0,0,0,0,2.7183,0,0,1,0,0,0,0,0,0,1.8187,2.7183,0,0,0,0,0,0,0,0,2.7183,0,0,0,0
"Albany,NY",0,0,0,0,0,0,0,0,0.7788,0.7793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8187,0,0,0,0,0,0,0,0,0,0.6772,0,0,0,0
"Albemarle,VA",0,0,1,0,0,0,0,2.7183,0,0,0,0.0035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5992,0.0312,4.7745,0,0,0,0,0,0,0,0
"Allegan,MI",0,0,0,0,4.4145,0,1,0,0,0.3867,0,0.0474,0,0,0,0,0,1,2.7183,0,0,0,0,0,1,0,0.522,0.2961,0,0.7788,0,0,0,0,0,0,1,0,0,0,0,0.8607,0,0
"Allegheny,PA",2.7183,0,02.71830.904803.423,0,0,0,0,0,0,2.7183,0,001.40971.95120,0,0,0,0,0,0,0.5769,0.0183000.5220,0,0.0369000.01510,0,0000.18270.2466,0,1.7994,0,0,0,0.0067,3.105,2.7183,0,0.03690.82133.446400.9512,0.002,00.0025.574800.0032,2.78221,0,0,0,0.0369000.67030,86.146,0,0.03690079.10080
"Allen,OH",0,0,0,0,0,0,0,0,0,0,0.6065,0,0.0143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2175,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amador,CA",0,2.8046,2.6538,28.5373,5.4366,0,0,3.8256,0,0,0.2466,7.5242,0.7408,0.2466,0.2466,0,0.0136,0.0001,0.2019,0,0.9048,0.6703,0,0,2.6703,0,0,0,0,0.7736,0,0,0,0,0,2.7183,0.1453,0.2592,0.0071,0.0061,0,0,0.9048,1
"Anne Arundel,MD",0,1.5196,6.2761,0,0,0.8616,1,1.1572,0,0,0,0,0.6376,3.7928,0,0,0,1.5196,0.0213,0,0,0,0,1.1835,0,0,64.2706,0,3.4138,2,0,0,0,0,0,0,1.6065,0.9048,0,0,0,0.0006,0,0
"Apache,AZ",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Arapahoe,CO",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0055,0.0055,0,0,0,0,6.7065,7.3602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1054,0,0,0
"Ashland,OH",0,0,2.7183,0,0,0,0,0,0.0193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2231,0,0,0,0,0.4066,0,0,0,0,0,0,0,0,0,0,0
"Atlantic,NJ",0,0,3.669500.0006,0,10.7047,0,0,0,0.8187,0,0,0,0,0,200,0.4493,0,0,0,2.7183,0,110,0,0,0,0,0,2.718311,0,0,0,0,0,0,0,0,0.0213,0,0,0,100,100,0,0
"Atoka,OK",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8489,0.8187,0,0,0,0,0,0,0,0,0,0,0,0
"Auglaize,OH",0,0,0,1,2.7183,0,0,0,0,0,0,0,0,0,0,0,0,2.7183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7408,0,0,0,0,0,0,0
"Augusta,VA",0,0,0,0,0,0,0,0,0,0,0,0.9512,0,0,0.0608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1738,0,0,0,0,1,0,0.7047,0,0,0
"Baldwin,AL",0,0,0,0,0,0.2231,1,0,0,0,2.71830.9512,0.2592,0,0,0,0.2592,0,0,0,0,0,6.2421,3.5692,0,0,0,9.484,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8607,0,0,0
